image_name,bboxes,classes
Rotate90/02_1_8.jpg,"[[300, 481, 323, 507], [15, 482, 91, 511], [2, 402, 48, 454]]","['Tank', 'Tank', 'Tank']"
Rotate180/02_1_8.jpg,"[[481, 189, 507, 212], [482, 421, 511, 497], [402, 464, 454, 510]]","['Tank', 'Tank', 'Tank']"
Rotate270/02_1_8.jpg,"[[189, 5, 212, 31], [421, 1, 497, 30], [464, 58, 510, 110]]","['Tank', 'Tank', 'Tank']"
HorizontalFlip/02_1_8.jpg,"[[481, 300, 507, 323], [482, 15, 511, 91], [402, 2, 454, 48]]","['Tank', 'Tank', 'Tank']"
HFlipRotate90/02_1_8.jpg,"[[300, 5, 323, 31], [15, 1, 91, 30], [2, 58, 48, 110]]","['Tank', 'Tank', 'Tank']"
HFlipRotate180/02_1_8.jpg,"[[5, 189, 31, 212], [1, 421, 30, 497], [58, 464, 110, 510]]","['Tank', 'Tank', 'Tank']"
HFlipRotate270/02_1_8.jpg,"[[189, 481, 212, 507], [421, 482, 497, 511], [464, 402, 510, 454]]","['Tank', 'Tank', 'Tank']"
Rotate90/88_6_7.jpg,"[[60, 37, 127, 106]]",['Floating Head Tank']
Rotate180/88_6_7.jpg,"[[37, 385, 106, 452]]",['Floating Head Tank']
Rotate270/88_6_7.jpg,"[[385, 406, 452, 475]]",['Floating Head Tank']
HorizontalFlip/88_6_7.jpg,"[[37, 60, 106, 127]]",['Floating Head Tank']
HFlipRotate90/88_6_7.jpg,"[[60, 406, 127, 475]]",['Floating Head Tank']
HFlipRotate180/88_6_7.jpg,"[[406, 385, 475, 452]]",['Floating Head Tank']
HFlipRotate270/88_6_7.jpg,"[[385, 37, 452, 106]]",['Floating Head Tank']
Rotate90/02_0_8.jpg,"[[235, 408, 264, 441], [285, 345, 314, 378], [291, 417, 318, 450], [387, 403, 434, 454], [476, 404, 511, 454], [491, 485, 510, 511]]","['Tank', 'Tank', 'Tank', 'Tank', 'Tank', 'Tank']"
